dummy,dummy,crop,pastr
y1995,CAZ,19485.42786152168,0
y1995,CHA,37035.8799751511,0
y1995,EUR,62657.53292761661,0
y1995,IND,26818.897092419164,0
y1995,JPN,1730.5286151969117,0
y1995,LAM,31140.90722126617,0
y1995,MEA,5812.013141463735,0
y1995,NEU,5749.072558632114,0
y1995,OAS,19318.64722692907,0
y1995,REF,35495.66034863253,0
y1995,SSA,15710.656432314041,0
y1995,USA,59358.119172978615,0
y2000,CAZ,18809.736297103627,0
y2000,CHA,37954.87047661951,0
y2000,EUR,64205.20041591588,0
y2000,IND,27345.88423552022,0
y2000,JPN,1870.9878508074587,0
y2000,LAM,44362.63228825225,0
y2000,MEA,6035.81357836655,0
y2000,NEU,5880.393518469603,0
y2000,OAS,17662.09944744089,0
y2000,REF,33816.359487520494,0
y2000,SSA,17798.26706851834,0
y2000,USA,57079.27390111059,0
y2005,CAZ,13559.877689262044,0
y2005,CHA,29382.476408768278,0
y2005,EUR,48681.401810462296,0
y2005,IND,21384.10255167525,0
y2005,JPN,1515.6521350924281,0
y2005,LAM,41236.494699654155,0
y2005,MEA,4608.712485979143,0
y2005,NEU,4455.3080704585955,0
y2005,OAS,12554.517492369007,0
y2005,REF,27601.670234025878,0
y2005,SSA,15338.823656810542,0
y2005,USA,41919.44002732468,0
y2010,CAZ,7981.4216373820545,0
y2010,CHA,18107.30505515929,0
y2010,EUR,30103.88608309417,0
y2010,IND,13225.420786573239,0
y2010,JPN,984.0786261286723,0
y2010,LAM,28401.052942685492,0
y2010,MEA,2790.2800283108522,0
y2010,NEU,2755.6592994830653,0
y2010,OAS,7201.352477313392,0
y2010,REF,17710.403929701188,0
y2010,SSA,10343.327115353872,0
y2010,USA,23578.115016729567,0
y2015,CAZ,3592.8549281350847,0
y2015,CHA,8462.002698976397,0
y2015,EUR,15235.465834599108,0
y2015,IND,6722.043943315876,0
y2015,JPN,483.26997360109226,0
y2015,LAM,15425.472908520662,0
y2015,MEA,1426.7978625463704,0
y2015,NEU,1390.978313847303,0
y2015,OAS,3402.3979785859474,0
y2015,REF,9009.466218841624,0
y2015,SSA,5483.750065998624,0
y2015,USA,11657.24337791032,0
y2020,CAZ,1845.384953412201,0
y2020,CHA,4290.650890880857,0
y2020,EUR,6218.1061733204515,0
y2020,IND,2855.7395834981207,0
y2020,JPN,235.53917143715933,0
y2020,LAM,7174.204494103031,0
y2020,MEA,624.1467963597207,0
y2020,NEU,570.4285864090681,0
y2020,OAS,1460.2538896531942,0
y2020,REF,3948.0741151361603,0
y2020,SSA,2347.6873624207433,0
y2020,USA,5254.225496904773,0
y2025,CAZ,257.1749238001038,0
y2025,CHA,1086.1851279788364,0
y2025,EUR,2016.5077715720113,0
y2025,IND,1019.0542463414564,0
y2025,JPN,82.06285603980177,0
y2025,LAM,3236.8793276458928,0
y2025,MEA,175.07757972380932,0
y2025,NEU,184.57229746762724,0
y2025,OAS,298.8120608041645,0
y2025,REF,2060.9193639009286,0
y2025,SSA,1217.3781341769684,0
y2025,USA,848.9358399729031,0
y2030,CAZ,0.0,0
y2030,CHA,0.0,0
y2030,EUR,0.0,0
y2030,IND,0.0,0
y2030,JPN,0.0,0
y2030,LAM,0.0,0
y2030,MEA,0.0,0
y2030,NEU,0.0,0
y2030,OAS,0.0,0
y2030,REF,0.0,0
y2030,SSA,0.0,0
y2030,USA,0.0,0
y2035,CAZ,0.0,0
y2035,CHA,0.0,0
y2035,EUR,0.0,0
y2035,IND,0.0,0
y2035,JPN,0.0,0
y2035,LAM,0.0,0
y2035,MEA,0.0,0
y2035,NEU,0.0,0
y2035,OAS,0.0,0
y2035,REF,0.0,0
y2035,SSA,0.0,0
y2035,USA,0.0,0
y2040,CAZ,0.0,0
y2040,CHA,0.0,0
y2040,EUR,0.0,0
y2040,IND,0.0,0
y2040,JPN,0.0,0
y2040,LAM,0.0,0
y2040,MEA,0.0,0
y2040,NEU,0.0,0
y2040,OAS,0.0,0
y2040,REF,0.0,0
y2040,SSA,0.0,0
y2040,USA,0.0,0
y2045,CAZ,0,0
y2045,CHA,0,0
y2045,EUR,0,0
y2045,IND,0,0
y2045,JPN,0,0
y2045,LAM,0,0
y2045,MEA,0,0
y2045,NEU,0,0
y2045,OAS,0,0
y2045,REF,0,0
y2045,SSA,0,0
y2045,USA,0,0
y2050,CAZ,0,0
y2050,CHA,0,0
y2050,EUR,0,0
y2050,IND,0,0
y2050,JPN,0,0
y2050,LAM,0,0
y2050,MEA,0,0
y2050,NEU,0,0
y2050,OAS,0,0
y2050,REF,0,0
y2050,SSA,0,0
y2050,USA,0,0
y2055,CAZ,0,0
y2055,CHA,0,0
y2055,EUR,0,0
y2055,IND,0,0
y2055,JPN,0,0
y2055,LAM,0,0
y2055,MEA,0,0
y2055,NEU,0,0
y2055,OAS,0,0
y2055,REF,0,0
y2055,SSA,0,0
y2055,USA,0,0
y2060,CAZ,0,0
y2060,CHA,0,0
y2060,EUR,0,0
y2060,IND,0,0
y2060,JPN,0,0
y2060,LAM,0,0
y2060,MEA,0,0
y2060,NEU,0,0
y2060,OAS,0,0
y2060,REF,0,0
y2060,SSA,0,0
y2060,USA,0,0
y2065,CAZ,0,0
y2065,CHA,0,0
y2065,EUR,0,0
y2065,IND,0,0
y2065,JPN,0,0
y2065,LAM,0,0
y2065,MEA,0,0
y2065,NEU,0,0
y2065,OAS,0,0
y2065,REF,0,0
y2065,SSA,0,0
y2065,USA,0,0
y2070,CAZ,0,0
y2070,CHA,0,0
y2070,EUR,0,0
y2070,IND,0,0
y2070,JPN,0,0
y2070,LAM,0,0
y2070,MEA,0,0
y2070,NEU,0,0
y2070,OAS,0,0
y2070,REF,0,0
y2070,SSA,0,0
y2070,USA,0,0
y2075,CAZ,0,0
y2075,CHA,0,0
y2075,EUR,0,0
y2075,IND,0,0
y2075,JPN,0,0
y2075,LAM,0,0
y2075,MEA,0,0
y2075,NEU,0,0
y2075,OAS,0,0
y2075,REF,0,0
y2075,SSA,0,0
y2075,USA,0,0
y2080,CAZ,0,0
y2080,CHA,0,0
y2080,EUR,0,0
y2080,IND,0,0
y2080,JPN,0,0
y2080,LAM,0,0
y2080,MEA,0,0
y2080,NEU,0,0
y2080,OAS,0,0
y2080,REF,0,0
y2080,SSA,0,0
y2080,USA,0,0
y2085,CAZ,0,0
y2085,CHA,0,0
y2085,EUR,0,0
y2085,IND,0,0
y2085,JPN,0,0
y2085,LAM,0,0
y2085,MEA,0,0
y2085,NEU,0,0
y2085,OAS,0,0
y2085,REF,0,0
y2085,SSA,0,0
y2085,USA,0,0
y2090,CAZ,0,0
y2090,CHA,0,0
y2090,EUR,0,0
y2090,IND,0,0
y2090,JPN,0,0
y2090,LAM,0,0
y2090,MEA,0,0
y2090,NEU,0,0
y2090,OAS,0,0
y2090,REF,0,0
y2090,SSA,0,0
y2090,USA,0,0
y2095,CAZ,0,0
y2095,CHA,0,0
y2095,EUR,0,0
y2095,IND,0,0
y2095,JPN,0,0
y2095,LAM,0,0
y2095,MEA,0,0
y2095,NEU,0,0
y2095,OAS,0,0
y2095,REF,0,0
y2095,SSA,0,0
y2095,USA,0,0
y2100,CAZ,0,0
y2100,CHA,0,0
y2100,EUR,0,0
y2100,IND,0,0
y2100,JPN,0,0
y2100,LAM,0,0
y2100,MEA,0,0
y2100,NEU,0,0
y2100,OAS,0,0
y2100,REF,0,0
y2100,SSA,0,0
y2100,USA,0,0
y2105,CAZ,0,0
y2105,CHA,0,0
y2105,EUR,0,0
y2105,IND,0,0
y2105,JPN,0,0
y2105,LAM,0,0
y2105,MEA,0,0
y2105,NEU,0,0
y2105,OAS,0,0
y2105,REF,0,0
y2105,SSA,0,0
y2105,USA,0,0
y2110,CAZ,0,0
y2110,CHA,0,0
y2110,EUR,0,0
y2110,IND,0,0
y2110,JPN,0,0
y2110,LAM,0,0
y2110,MEA,0,0
y2110,NEU,0,0
y2110,OAS,0,0
y2110,REF,0,0
y2110,SSA,0,0
y2110,USA,0,0
y2115,CAZ,0,0
y2115,CHA,0,0
y2115,EUR,0,0
y2115,IND,0,0
y2115,JPN,0,0
y2115,LAM,0,0
y2115,MEA,0,0
y2115,NEU,0,0
y2115,OAS,0,0
y2115,REF,0,0
y2115,SSA,0,0
y2115,USA,0,0
y2120,CAZ,0,0
y2120,CHA,0,0
y2120,EUR,0,0
y2120,IND,0,0
y2120,JPN,0,0
y2120,LAM,0,0
y2120,MEA,0,0
y2120,NEU,0,0
y2120,OAS,0,0
y2120,REF,0,0
y2120,SSA,0,0
y2120,USA,0,0
y2125,CAZ,0,0
y2125,CHA,0,0
y2125,EUR,0,0
y2125,IND,0,0
y2125,JPN,0,0
y2125,LAM,0,0
y2125,MEA,0,0
y2125,NEU,0,0
y2125,OAS,0,0
y2125,REF,0,0
y2125,SSA,0,0
y2125,USA,0,0
y2130,CAZ,0,0
y2130,CHA,0,0
y2130,EUR,0,0
y2130,IND,0,0
y2130,JPN,0,0
y2130,LAM,0,0
y2130,MEA,0,0
y2130,NEU,0,0
y2130,OAS,0,0
y2130,REF,0,0
y2130,SSA,0,0
y2130,USA,0,0
y2135,CAZ,0,0
y2135,CHA,0,0
y2135,EUR,0,0
y2135,IND,0,0
y2135,JPN,0,0
y2135,LAM,0,0
y2135,MEA,0,0
y2135,NEU,0,0
y2135,OAS,0,0
y2135,REF,0,0
y2135,SSA,0,0
y2135,USA,0,0
y2140,CAZ,0,0
y2140,CHA,0,0
y2140,EUR,0,0
y2140,IND,0,0
y2140,JPN,0,0
y2140,LAM,0,0
y2140,MEA,0,0
y2140,NEU,0,0
y2140,OAS,0,0
y2140,REF,0,0
y2140,SSA,0,0
y2140,USA,0,0
y2145,CAZ,0,0
y2145,CHA,0,0
y2145,EUR,0,0
y2145,IND,0,0
y2145,JPN,0,0
y2145,LAM,0,0
y2145,MEA,0,0
y2145,NEU,0,0
y2145,OAS,0,0
y2145,REF,0,0
y2145,SSA,0,0
y2145,USA,0,0
y2150,CAZ,0,0
y2150,CHA,0,0
y2150,EUR,0,0
y2150,IND,0,0
y2150,JPN,0,0
y2150,LAM,0,0
y2150,MEA,0,0
y2150,NEU,0,0
y2150,OAS,0,0
y2150,REF,0,0
y2150,SSA,0,0
y2150,USA,0,0
